"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-01",,,"80","H,,S","86",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-02",,,"75","H,,S","90",",,S","56",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-03",,,"72","H,,S","89",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-04",,,"75","H,,S",,,"64",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-05",,,"75","H,,S","83",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-08",,,"79","H,,S","94",",,S","64",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-09",,,"79","H,,S","94",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-10",,,"76","H,,S","90",",,S","63",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-11",,,"75","H,,S","91",",,S","63",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-12",,,"78","H,,S","92",",,S","61",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-13",,,"78","H,,S","86",",,S","63",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-14",,,"76","H,,S","92",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-15",,,"81","H,,S","94",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-16",,,"74","H,,S","86",",,S","66",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-17",,,"79","H,,S","95",",,S","61",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-18",,,"79","H,,S","97",",,S","60",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-19",,,"82","H,,S","97",",,S","60",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-20",,,"84","H,,S","97",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-21",,,"89","H,,S","99",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-22",,,"82","H,,S","94",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-23",,,"78","H,,S","87",",,S","71",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-24",,,"79","H,,S","90",",,S","68",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-25",,,"80","H,,S","96",",,S","66",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-26",,,"84","H,,S","92",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-28",,,"71","H,,S","79",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-30",,,"73","H,,S","81",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-03-31",,,"71","H,,S","80",",,S","63",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-01",,,"72","H,,S","81",",,S","63",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-02",,,"72","H,,S","77",",,S","67",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-04-03",,,"79","H,,S","91",",,S","67",",,S"
